pdbid,-logKd/Ki,set
1olu,4.41,refined
2csn,4.41,refined
2ypp,4.41,general
3iqi,4.41,general
3rqf,4.41,general
3rsx,4.41,core
3uxd,4.41,refined
3vb6,4.41,general
3zqt,4.41,general
4exs,4.41,refined
4fpf,4.41,general
4ou3,4.41,refined
4qn9,4.41,general
4usi,4.41,general
5bot,4.41,general
5dtr,4.41,general
5e74,4.41,refined
5ka9,4.41,refined
5km2,4.41,general
5oh1,4.41,general
1h00,4.42,general
1rsi,4.42,general
1tjp,4.42,refined
2poq,4.42,general
2vr0,4.42,general
2wfg,4.42,general
3dri,4.42,refined
3igb,4.42,general
3p23,4.42,general
3qvv,4.42,general
3rtm,4.42,general
4cc5,4.42,refined
4ek9,4.42,refined
4nrb,4.42,general
4q7s,4.42,refined
5eps,4.42,general
5h9q,4.42,general
5jcj,4.42,general
5mk9,4.42,general
5sz9,4.42,general
6cd9,4.42,general
6h8s,4.42,refined
1rgl,4.43,general
1rst,4.43,general
2a3c,4.43,general
2f6v,4.43,general
2ha0,4.43,general
2pu2,4.43,refined
2we3,4.43,refined
2wyf,4.43,refined
3art,4.43,general
3b82,4.43,general
3kqr,4.43,refined
3m3e,4.43,general
3pxf,4.43,core
3pxq,4.43,general
3tvw,4.43,general
3vbt,4.43,general
4axd,4.43,refined
4bdd,4.43,general
4dsy,4.43,refined
4ibf,4.43,refined
4joo,4.43,general
4jpy,4.43,refined
4kcx,4.43,refined
4mnq,4.43,general
4qf9,4.43,refined
4xhl,4.43,general
4ykj,4.43,refined
4zw5,4.43,refined
5f2p,4.43,refined
5g4o,4.43,refined
5h5f,4.43,refined
5kad,4.43,refined
5knt,4.43,general
5tus,4.43,general
5w1v,4.43,general
1k2v,4.44,general
2amt,4.44,refined
2aoh,4.44,general
2q9y,4.44,general
3ex3,4.44,general
3hfj,4.44,general
3iiw,4.44,general
3k27,4.44,general
3okc,4.44,general
3pd3,4.44,general
3u81,4.44,refined
3wb4,4.44,general
4d1b,4.44,general
4dhp,4.44,general
4hcz,4.44,general
4jfd,4.44,general
4k3o,4.44,general
4pd6,4.44,general
4rrr,4.44,general
4x2l,4.44,general
4zsr,4.44,general
5azf,4.44,refined
5d6j,4.44,refined
5hed,4.44,general
5mrd,4.44,general
1zhk,4.45,general
2wbg,4.45,core
3atp,4.45,general
4g2r,4.45,general
4h71,4.45,general
5gow,4.45,general
6ccu,4.45,general
6q3q,4.45,refined
1qvu,4.46,general
1v1k,4.46,general
1w84,4.46,general
1wvc,4.46,general
2h9m,4.46,general
2j4q,4.46,general
2lyb,4.46,general
2pt9,4.46,general
2v85,4.46,general
2v86,4.46,general
2w2u,4.46,general
2zit,4.46,general
3bmn,4.46,general
3jq8,4.46,general
3jqa,4.46,general
3jqf,4.46,general
3pqz,4.46,general
3sgv,4.46,general
3tsz,4.46,general
4gki,4.46,refined
4i8n,4.46,refined
4urn,4.46,general
5akg,4.46,general
5c3p,4.46,refined
5dpx,4.46,refined
5jox,4.46,refined
6cq0,4.46,general
6fui,4.46,refined
2bj4,4.47,general
2f70,4.47,general
2r2w,4.47,refined
2v83,4.47,general
3hec,4.47,general
3hl5,4.47,refined
3skk,4.47,general
4cix,4.47,general
4cu8,4.47,refined
4lh7,4.47,general
4mra,4.47,general
4odq,4.47,general
4owo,4.47,general
4ym4,4.47,general
5afn,4.47,general
5dtj,4.47,general
5eay,4.47,general
5el2,4.47,general
5ifu,4.47,general
6f05,4.47,refined
1jaq,4.48,refined
1qan,4.48,refined
1r5v,4.48,general
1zkk,4.48,general
2jq9,4.48,general
2ogy,4.48,refined
2wwj,4.48,general
2xln,4.48,general
3bsc,4.48,general
3p17,4.48,refined
3pd4,4.48,general
3s0o,4.48,general
3t01,4.48,refined
3udm,4.48,general
3vd7,4.48,general
4bvb,4.48,general
4dhl,4.48,refined
4eke,4.48,general
4oks,4.48,refined
4rxc,4.48,general
5a7y,4.48,general
5f0h,4.48,general
5ka1,4.48,refined
5lca,4.48,general
5o1e,4.48,general
5ovv,4.48,refined
5swg,4.48,general
5tya,4.48,refined
5wxf,4.48,general
5yto,4.48,general
6c5f,4.48,general
6gh9,4.48,general
6gqm,4.48,general
6hoy,4.48,general
1hi4,4.49,refined
1j14,4.49,refined
1o7o,4.49,refined
2prj,4.49,general
3f9y,4.49,general
3h26,4.49,general
3hl8,4.49,refined
3kmy,4.49,refined
3l2y,4.49,general
3udk,4.49,general
4ccd,4.49,general
4cwf,4.49,refined
4dhq,4.49,general
4el0,4.49,general
4nmq,4.49,general
5isz,4.49,refined
5t19,4.49,refined
5wii,4.49,general
6b7a,4.49,refined
6g86,4.49,general
1d6n,4.5,general
2eg8,4.5,general
3n7h,4.5,general
3ro0,4.5,general
3sw8,4.5,refined
4dcx,4.5,general
4j81,4.5,general
5lj1,4.5,general
5ovx,4.5,refined
5yl2,4.5,refined
1gi7,4.51,refined
1zkn,4.51,general
2r1y,4.51,refined
2xct,4.51,general
2yog,4.51,general
2zlf,4.51,general
3aas,4.51,refined
3puj,4.51,general
3uug,4.51,refined
4abb,4.51,refined
4d2w,4.51,general
4g90,4.51,refined
4jfe,4.51,general
4jxv,4.51,general
4ok5,4.51,general
4z2o,4.51,general
5aqg,4.51,general
5auv,4.51,general
5k6a,4.51,general
5l8n,4.51,general
6bau,4.51,general
1a85,4.52,general
1ctt,4.52,refined
1gu1,4.52,general
1mrn,4.52,refined
1uyf,4.52,general
1xz8,4.52,general
1z4n,4.52,general
1z4o,4.52,refined
2a4m,4.52,refined
2bua,4.52,general
2gfk,4.52,general
2h1h,4.52,general
2lyw,4.52,general
2opy,4.52,general
2puy,4.52,general
2ra6,4.52,refined
2vl8,4.52,general
2vur,4.52,general
2wl5,4.52,general
2wm0,4.52,refined
2xf0,4.52,general
3bzf,4.52,refined
3ccb,4.52,general
3dga,4.52,general
3fdt,4.52,general
3g4f,4.52,general
3gy7,4.52,refined
3ksl,4.52,general
3lau,4.52,general
3q7j,4.52,general
3r0w,4.52,general
3r6u,4.52,refined
3t0l,4.52,general
3w5t,4.52,general
4dcy,4.52,general
4gzw,4.52,refined
4igq,4.52,general
4p0a,4.52,general
4pku,4.52,general
4pml,4.52,general
4pnn,4.52,general
4pns,4.52,general
4pyn,4.52,general
4pyo,4.52,general
4trc,4.52,refined
5awt,4.52,general
5jhd,4.52,general
5myn,4.52,general
5o1a,4.52,general
5o1f,4.52,refined
5th2,4.52,general
5w88,4.52,general
5wcl,4.52,general
5y20,4.52,general
6ami,4.52,general
6ccn,4.52,general
6f3f,4.52,general
3h30,4.53,refined
3l81,4.53,general
3otx,4.53,general
3ued,4.53,general
4x49,4.53,general
5dms,4.53,general
5tg7,4.53,general
6evp,4.53,general
1amw,4.54,refined
1b2h,4.54,refined
1czq,4.54,general
1i8h,4.54,general
1lyx,4.54,refined
1lzo,4.54,general
1oko,4.54,general
1szd,4.54,refined
1w80,4.54,general
2frd,4.54,general
2v96,4.54,general
2w5i,4.54,general
2zz1,4.54,refined
2zz2,4.54,refined
3d9p,4.54,general
3iub,4.54,refined
3wka,4.54,general
3zn1,4.54,general
4b76,4.54,refined
4bd3,4.54,general
4m5h,4.54,general
4nw2,4.54,general
4x3t,4.54,general
5b56,4.54,general
5etb,4.54,refined
5f3z,4.54,general
5gmm,4.54,general
5iop,4.54,general
5opc,4.54,general
5q0t,4.54,general
5tdr,4.54,general
5u0d,4.54,refined
5wg6,4.54,general
6e83,4.54,general
6mi6,4.54,general
1czo,4.55,general
1h08,4.55,general
1rrw,4.55,general
1utc,4.55,general
2aof,4.55,general
2qn2,4.55,general
2w92,4.55,general
2xag,4.55,general
3adt,4.55,general
3aqa,4.55,general
3as0,4.55,general
3b2q,4.55,refined
3djv,4.55,refined
3mt8,4.55,general
3oq5,4.55,general
3p8p,4.55,refined
3ppq,4.55,refined
3rr4,4.55,core
3suv,4.55,refined
3vby,4.55,general
3zmt,4.55,general
4hkp,4.55,general
4igk,4.55,general
4mx5,4.55,general
4myd,4.55,refined
4oz3,4.55,general
5c2o,4.55,refined
5oh4,4.55,refined
5oss,4.55,refined
5tg6,4.55,general
6b7e,4.55,general
6edr,4.55,refined
6gnp,4.55,refined
6miq,4.55,general
2cgv,4.56,general
3uw9,4.56,general
3ztc,4.56,general
4j73,4.56,general
4x3k,4.56,refined
5c4k,4.56,general
5dp7,4.56,general
5iql,4.56,general
5ost,4.56,refined
1i41,4.57,general
1uj0,4.57,general
1w2g,4.57,general
2uzj,4.57,general
2uzo,4.57,general
2y2h,4.57,general
2y2n,4.57,general
3n8n,4.57,general
3p4w,4.57,general
3soq,4.57,general
3sym,4.57,general
3wb5,4.57,general
4ciy,4.57,general
4dhr,4.57,general
4erk,4.57,general
4fp1,4.57,refined
4gvd,4.57,general
4i11,4.57,general
4or4,4.57,refined
4xtm,4.57,general
4yrd,4.57,refined
4zs9,4.57,general
5a3h,4.57,general
5hfb,4.57,general
5ko5,4.57,refined
5ovr,4.57,refined
5q0r,4.57,general
6g07,4.57,general
2k46,4.58,general
3nc4,4.58,general
3vvz,4.58,general
4bi7,4.58,refined
4qbm,4.58,general
5ei4,4.58,general
5j7q,4.58,refined
5n7g,4.58,general
5u0g,4.58,refined
5wfd,4.58,general
1bma,4.59,refined
1d04,4.59,general
1fj4,4.59,general
1iew,4.59,general
1kak,4.59,general
1l2s,4.59,general
1vcj,4.59,general
2c69,4.59,general
2ihj,4.59,refined
2jiw,4.59,refined
2x6f,4.59,general
2x6y,4.59,general
2y2i,4.59,general
2ybs,4.59,general
3f3t,4.59,general
3h2o,4.59,general
3hp9,4.59,refined
3iqh,4.59,general
3msk,4.59,general
3mt9,4.59,general
3ob2,4.59,general
3ujc,4.59,refined
3wq6,4.59,general
4c6u,4.59,refined
4c6v,4.59,general
4dcv,4.59,general
4g8y,4.59,refined
4j74,4.59,general
4nrp,4.59,general
4xbo,4.59,general
4xua,4.59,general
4yh3,4.59,general
4yh4,4.59,general
4zun,4.59,general
5k9w,4.59,refined
5ka3,4.59,general
5ti4,4.59,general
5yco,4.59,general
5yql,4.59,general
6fnq,4.59,refined
1f7b,4.6,general
1pa9,4.6,refined
1q9d,4.6,general
1tx7,4.6,refined
1u33,4.6,refined
1upf,4.6,refined
2fsv,4.6,general
2gg8,4.6,general
2hpa,4.6,general
2jaj,4.6,general
2kbr,4.6,general
2ohq,4.6,general
2pyy,4.6,refined
2q80,4.6,general
2r1w,4.6,general
2v54,4.6,refined
2v87,4.6,general
2vb8,4.6,refined
2vba,4.6,refined
2w6q,4.6,general
2wlz,4.6,refined
2x0y,4.6,refined
2yof,4.6,general
3cpb,4.6,general
3d7k,4.6,refined
3iqg,4.6,general
3k0h,4.6,general
3lkj,4.6,general
3t2c,4.6,general
3vhk,4.6,refined
4bc5,4.6,refined
4dfb,4.6,general
4dfu,4.6,general
4jal,4.6,refined
4p58,4.6,refined
4prd,4.6,general
4prh,4.6,general
4v1c,4.6,general
4z2p,4.6,general
5ixt,4.6,general
5jpt,4.6,general
5km3,4.6,general
5n1p,4.6,general
5oae,4.6,general
5yp5,4.6,general
5yp6,4.6,general
2bo4,4.61,refined
2xs8,4.61,general
2yga,4.61,general
3lgs,4.61,refined
4a9c,4.61,general
4io4,4.61,refined
4ocq,4.61,refined
5a1f,4.61,general
5l4e,4.61,general
5ulp,4.61,refined
6eq1,4.61,refined
6g0q,4.61,general
13gs,4.62,general
1f4f,4.62,refined
1joc,4.62,general
1l0a,4.62,general
1mn9,4.62,general
1ofz,4.62,general
1sm3,4.62,general
1t5a,4.62,general
2a25,4.62,general
2a5c,4.62,refined
2f6t,4.62,refined
2k00,4.62,general
2rol,4.62,general
2xm2,4.62,refined
2ybk,4.62,general
2ybp,4.62,general
3ewu,4.62,general
3exo,4.62,general
3f5k,4.62,refined
3l0k,4.62,general
3p50,4.62,general
3tcy,4.62,general
3tk2,4.62,refined
3u90,4.62,refined
3umq,4.62,refined
4abf,4.62,refined
4ad3,4.62,refined
4e35,4.62,general
4hej,4.62,general
4os7,4.62,general
4pid,4.62,general
4ynl,4.62,refined
5cuh,4.62,general
5ezh,4.62,general
5fsl,4.62,general
5jgq,4.62,refined
5kmh,4.62,general
5m39,4.62,general
5ngr,4.62,general
5ti2,4.62,general
6bhe,4.62,general
6f1j,4.62,refined
6fgl,4.62,general
2rqu,4.63,general
3mtb,4.63,general
3uj9,4.63,refined
3v43,4.63,general
4c1f,4.63,general
4cfv,4.63,general
4hzm,4.63,refined
4k6v,4.63,general
4os5,4.63,general
4xwk,4.63,general
5ji8,4.63,refined
5moc,4.63,general
5n34,4.63,refined
5vex,4.63,general
5w8h,4.63,general
1c85,4.64,general
2brh,4.64,general
2xaf,4.64,general
2yhd,4.64,general
2z3h,4.64,general
3c72,4.64,general
3rqg,4.64,general
3wbl,4.64,general
4hbv,4.64,general
4myh,4.64,general
4psb,4.64,refined
4qna,4.64,general
5dhr,4.64,general
5e4w,4.64,general
5e73,4.64,refined
5etl,4.64,general
5jhk,4.64,refined
5klp,4.64,general
5uxn,4.64,general
5wic,4.64,general
6f8w,4.64,general
6fcl,4.64,general
2w12,4.65,general
2w87,4.65,general
3qtv,4.65,refined
4i1r,4.65,general
4j78,4.65,general
4pkw,4.65,general
4q93,4.65,refined
4w9c,4.65,core
5awu,4.65,general
5dpa,4.65,general
5jq9,4.65,general
5w94,4.65,general
6b98,4.65,refined
1bzj,4.66,refined
1h01,4.66,general
1h4w,4.66,refined
1m1b,4.66,refined
1t49,4.66,general
2aoj,4.66,general
2ca8,4.66,refined
2ha2,4.66,refined
2l3r,4.66,general
2nyr,4.66,general
2xg5,4.66,general
3ddf,4.66,refined
3egk,4.66,general
3h1z,4.66,general
3mss,4.66,core
3pkn,4.66,general
3rme,4.66,general
3sz1,4.66,general
4b84,4.66,general
4hso,4.66,general
4o42,4.66,general
4tt2,4.66,refined
4yih,4.66,general
4z90,4.66,general
5hl9,4.66,general
5hld,4.66,general
5j1r,4.66,refined
5lhu,4.66,general
5myr,4.66,general
5ndb,4.66,general
5o1d,4.66,refined
6bee,4.66,general
6ezq,4.66,refined
1f47,4.67,general
2h23,4.67,general
2w6m,4.67,general
3oob,4.67,general
3ud9,4.67,general
3vw0,4.67,general
3vw1,4.67,refined
4e5g,4.67,general
4gkh,4.67,refined
4nku,4.67,refined
4xum,4.67,general
5jsq,4.67,refined
5zh3,4.67,general
5znr,4.67,general
5zt1,4.67,general
6fmk,4.67,general
1c5p,4.68,refined
1nyy,4.68,general
1ol1,4.68,general
1wn6,4.68,refined
1xge,4.68,general
2nsl,4.68,refined
2uy4,4.68,refined
2ypo,4.68,refined
3g35,4.68,refined
3gl6,4.68,general
3qs4,4.68,general
3rv6,4.68,general
3uef,4.68,general
4l58,4.68,general
4lar,4.68,refined
4o75,4.68,general
4ymg,4.68,refined
5a5q,4.68,refined
5aoj,4.68,refined
5auu,4.68,general
5eq1,4.68,refined
5fe9,4.68,refined
5fus,4.68,general
5j5d,4.68,general
5k1d,4.68,refined
5kab,4.68,refined
5mng,4.68,general
5mnh,4.68,general
5mo0,4.68,general
5moq,4.68,general
5op6,4.68,general
5ti6,4.68,general
5vdt,4.68,general
5w99,4.68,general
6bm6,4.68,refined
6bmv,4.68,general
6fnt,4.68,general
2rio,4.69,refined
3ujd,4.69,refined
4agp,4.69,core
4j84,4.69,general
4mgd,4.69,core
4tpw,4.69,refined
4z89,4.69,general
5jr6,4.69,general
5khg,4.69,general
5lch,4.69,general
5znp,4.69,general
1agw,4.7,general
1c5n,4.7,refined
1c86,4.7,refined
1fo2,4.7,general
1gpy,4.7,general
1h60,4.7,general
1om2,4.7,general
1v41,4.7,general
1xos,4.7,general
2c4w,4.7,general
2cex,4.7,refined
2dw7,4.7,refined
2fu8,4.7,refined
2h9t,4.7,general
2i2c,4.7,refined
2j9n,4.7,general
2jc0,4.7,general
2k62,4.7,general
2mwo,4.7,general
2qfo,4.7,general
2r3h,4.7,general
2xp6,4.7,general
2y2p,4.7,general
2y54,4.7,general
2ybt,4.7,general
3dg8,4.7,general
3h21,4.7,general
3ij1,4.7,general
3k5i,4.7,general
3kiv,4.7,refined
3kr0,4.7,general
3lm1,4.7,general
3nkk,4.7,refined
3p2k,4.7,general
3pab,4.7,general
3suw,4.7,refined
3tg5,4.7,general
3uij,4.7,general
3uqf,4.7,general
3uxm,4.7,general
4fic,4.7,general
4huo,4.7,general
4j7d,4.7,refined
4j93,4.7,refined
4luz,4.7,refined
4lzr,4.7,refined
4o7b,4.7,general
4uiz,4.7,general
4uy1,4.7,general
5h85,4.7,refined
5ipa,4.7,general
5ixq,4.7,general
5lsc,4.7,general
5lvn,4.7,general
5mkx,4.7,general
5mkz,4.7,general
5o1b,4.7,general
5o48,4.7,general
5o55,4.7,general
5qb1,4.7,general
5sxk,4.7,general
5tdw,4.7,general
5vfj,4.7,general
5wbm,4.7,refined
5wg7,4.7,general
6f8r,4.7,general
6fba,4.7,refined
6fut,4.7,general
6gch,4.7,general
6gu4,4.7,general
1v2t,4.71,refined
2ig0,4.71,general
2ndg,4.71,general
2qrh,4.71,general
3fnm,4.71,general
3gwu,4.71,general
3h23,4.71,general
3ny3,4.71,general
3qs5,4.71,general
4cu1,4.71,general
4gvc,4.71,general
4ljh,4.71,refined
4yb5,4.71,refined
5gwz,4.71,general
5his,4.71,refined
5kma,4.71,refined
5nne,4.71,general
5otc,4.71,refined
5wip,4.71,general
6cd8,4.71,general
6evn,4.71,refined
184l,4.72,refined
1h7a,4.72,general
1qxz,4.72,general
1urc,4.72,general
1vso,4.72,core
2o1c,4.72,general
3b9g,4.72,general
3cpj,4.72,general
3d9k,4.72,general
3ebo,4.72,refined
3f6g,4.72,refined
3f6h,4.72,general
3f9w,4.72,general
3oka,4.72,general
3okp,4.72,general
3omg,4.72,general
3r6c,4.72,general
4d1a,4.72,general
4jxw,4.72,general
4m5l,4.72,general
4nan,4.72,general
4o70,4.72,general
4o7a,4.72,general
4oyi,4.72,general
4zw7,4.72,refined
5hjq,4.72,refined
5m51,4.72,general
6asz,4.72,general
6bed,4.72,general
6bmx,4.72,general
6e49,4.72,general
1m51,4.73,general
1v2o,4.73,refined
1v2p,4.73,general
3vp4,4.73,general
4ayu,4.73,refined
4e5j,4.73,general
5a3o,4.73,general
5dgj,4.73,general
5dp5,4.73,general
5gmn,4.73,refined
5mw6,4.73,general
1br8,4.74,general
1bty,4.74,refined
1ce5,4.74,general
1qaq,4.74,general
1ru1,4.74,general
1w4p,4.74,refined
2e2p,4.74,refined
2ov4,4.74,general
2uxu,4.74,general
2vd4,4.74,general
2w68,4.74,general
2wa4,4.74,general
2wyi,4.74,general
2xg3,4.74,general
2xzg,4.74,general
3dnt,4.74,general
3erk,4.74,general
3f3u,4.74,general
3g3d,4.74,general
3gxt,4.74,general
3hg1,4.74,general
3jqg,4.74,general
3kfn,4.74,general
3lcv,4.74,general
3llm,4.74,general
3puk,4.74,general
3qs8,4.74,general
3rl7,4.74,general
3ud7,4.74,general
3zmz,4.74,general
4cfm,4.74,general
4ih6,4.74,refined
4jfi,4.74,general
4jxs,4.74,core
4kyk,4.74,refined
4m5m,4.74,general
4nxq,4.74,general
4o71,4.74,general
4w55,4.74,general
5ful,4.74,general
5fum,4.74,general
5k03,4.74,refined
5ov8,4.74,refined
5w0l,4.74,general
5zmq,4.74,general
6dub,4.74,general
6fse,4.74,general
3g2j,4.75,general
3nim,4.75,refined
3vw2,4.75,refined
4ds1,4.75,general
4mnx,4.75,general
5lcf,4.75,general
5yz7,4.75,general
1q8t,4.76,core
2cgw,4.76,general
3acw,4.76,core
3atl,4.76,general
3hdk,4.76,general
3o5n,4.76,refined
3rxe,4.76,general
3twv,4.76,general
4au7,4.76,general
4cjn,4.76,general
4oef,4.76,general
4p7e,4.76,general
4uub,4.76,general
4wop,4.76,refined
4z8a,4.76,general
5bqg,4.76,general
5lne,4.76,refined
5lp6,4.76,general
6c2x,4.76,general
1h62,4.77,general
1l5r,4.77,general
1pxi,4.77,general
1rti,4.77,general
1str,4.77,refined
1uyk,4.77,general
2afw,4.77,refined
2b2v,4.77,general
2b4l,4.77,refined
2chw,4.77,general
2dua,4.77,general
2f0z,4.77,general
2qn1,4.77,general
2x4o,4.77,general
2x4r,4.77,general
2xk4,4.77,general
2y1n,4.77,general
3abt,4.77,general
3cyy,4.77,general
3d50,4.77,refined
3iqu,4.77,refined
3mkf,4.77,general
3rm9,4.77,refined
3rqe,4.77,general
3s1h,4.77,general
3t3i,4.77,general
3tiy,4.77,general
3vbx,4.77,general
3vv8,4.77,general
4j09,4.77,general
4kax,4.77,refined
4kox,4.77,general
4odp,4.77,general
4uoh,4.77,refined
5ccl,4.77,general
5cwa,4.77,general
5ho7,4.77,general
5iyy,4.77,refined
5mkr,4.77,refined
5mks,4.77,refined
5nxx,4.77,general
5o0j,4.77,general
5o5a,4.77,refined
5orj,4.77,refined
5wbr,4.77,general
5wqd,4.77,general
5yba,4.77,general
6bj3,4.77,general
6f8x,4.77,general
6fgg,4.77,refined
6prc,4.77,general
2rr4,4.78,general
4ad6,4.78,refined
5obj,4.78,general
5zuj,4.78,general
6czc,4.78,refined
6fbw,4.78,general
1eed,4.79,general
1oss,4.79,refined
2nsj,4.79,refined
3eb1,4.79,refined
3g2k,4.79,general
4as9,4.79,general
4j8b,4.79,general
4k78,4.79,general
5fwa,4.79,general
5k1f,4.79,refined
5kgw,4.79,general
1azg,4.8,general
1bju,4.8,refined
1ghz,4.8,refined
1qxy,4.8,general
1tsv,4.8,general
1ybg,4.8,general
2ly0,4.8,general
2nta,4.8,refined
2r1x,4.8,general
2vwv,4.8,general
2y2j,4.8,general
3bpc,4.8,refined
3dnd,4.8,refined
3iiy,4.8,general
3iu7,4.8,general
3kce,4.8,general
3mlb,4.8,general
3o2m,4.8,general
3stj,4.8,general
4aq6,4.8,refined
4bde,4.8,general
4de7,4.8,general
4dhs,4.8,general
4dkt,4.8,general
4llp,4.8,refined
4lzs,4.8,core
4m7x,4.8,general
4mk1,4.8,general
4pb2,4.8,refined
5bpp,4.8,general
5c6v,4.8,general
5eko,4.8,general
5j3l,4.8,refined
5jeo,4.8,general
5jq7,4.8,general
5jzi,4.8,refined
5k51,4.8,general
5kgx,4.8,general
6f6u,4.8,general
6f8v,4.8,general
1b4d,4.81,general
1p5e,4.81,general
2cgx,4.81,general
4ago,4.81,refined
4yzn,4.81,general
5cqj,4.81,general
5iaw,4.81,general
5iy4,4.81,general
1aid,4.82,refined
1dud,4.82,refined
1f8e,4.82,refined
1njt,4.82,general
1uy9,4.82,general
1v1j,4.82,refined
1xff,4.82,refined
1y3p,4.82,refined
1ya4,4.82,general
2a0t,4.82,general
2gl0,4.82,refined
2gzl,4.82,refined
2hb9,4.82,general
2hr6,4.82,general
2ilp,4.82,general
2jal,4.82,general
2l0i,4.82,general
2l11,4.82,general
2ms4,4.82,general
2pwg,4.82,refined
2xp8,4.82,general
2xqq,4.82,general
2ypi,4.82,refined
3ehw,4.82,general
3fbr,4.82,general
3ft5,4.82,general
3h0v,4.82,general
3kmx,4.82,refined
3kqy,4.82,general
3lxo,4.82,general
3qqk,4.82,general
3r88,4.82,core
3unk,4.82,general
3vd4,4.82,refined
3wk5,4.82,general
4ciw,4.82,core
4dht,4.82,general
4e5f,4.82,general
4e6c,4.82,general
4fys,4.82,refined
4hup,4.82,general
4ie5,4.82,general
4ih3,4.82,refined
4io6,4.82,refined
4kwf,4.82,refined
4pkr,4.82,general
4pks,4.82,general
4rlu,4.82,refined
5ayf,4.82,general
5bnm,4.82,general
5d7x,4.82,general
5ewa,4.82,refined
5lvf,4.82,general
5ocj,4.82,general
5orl,4.82,general
5wej,4.82,general
6as6,4.82,general
6h2t,4.82,refined
3a1s,4.83,general
3a1t,4.83,general
3cf9,4.83,general
3ds0,4.83,general
4k6y,4.83,general
4nmo,4.83,general
4pkt,4.83,general
5dp6,4.83,general
5efa,4.83,refined
5vjp,4.83,general
1ftk,4.84,general
1nhw,4.84,general
1uyh,4.84,general
3r0y,4.84,general
3vvy,4.84,refined
4aif,4.84,general
4ckj,4.84,general
4kif,4.84,refined
4l7n,4.84,general
4m5j,4.84,general
4njd,4.84,general
4uof,4.84,refined
4yje,4.84,general
5d1r,4.84,refined
5e1b,4.84,general
5kv8,4.84,general
5vwi,4.84,general
5xyx,4.84,general
186l,4.85,refined
1bux,4.85,general
1c83,4.85,refined
1ecv,4.85,refined
1jws,4.85,general
1n51,4.85,refined
1o2p,4.85,general
1qji,4.85,refined
1tkc,4.85,general
1uu7,4.85,general
1vkj,4.85,general
1xgi,4.85,refined
1ymx,4.85,general
2j4k,4.85,general
2j87,4.85,general
2ow7,4.85,general
2p8o,4.85,general
2qwd,4.85,refined
2r9x,4.85,refined
2w4x,4.85,core
2ww2,4.85,general
3cj2,4.85,refined
3f70,4.85,refined
3h52,4.85,general
3ik1,4.85,general
3k05,4.85,general
3kpw,4.85,general
3kqa,4.85,general
3ohi,4.85,refined
3qnd,4.85,general
3ru1,4.85,refined
3rv7,4.85,general
3wp1,4.85,general
3zyf,4.85,refined
4fyh,4.85,general
4hpi,4.85,refined
4iic,4.85,refined
4ikn,4.85,general
4j7e,4.85,refined
4lq9,4.85,general
4nmt,4.85,general
4ok6,4.85,general
4ovh,4.85,refined
4q87,4.85,refined
4w57,4.85,general
4wmx,4.85,general
5abf,4.85,general
5efc,4.85,refined
5ewk,4.85,refined
5f90,4.85,general
5fbe,4.85,general
5jsg,4.85,refined
5lyy,4.85,general
5o1h,4.85,refined
5u5l,4.85,general
5yc3,4.85,general
6cq4,4.85,general
6dxg,4.85,general
6gpb,4.85,general
2brb,4.86,core
3g2i,4.86,general
5djr,4.86,general
5i40,4.86,general
5myd,4.86,general
5yfs,4.86,refined
6afg,4.86,general
1zd5,4.87,general
2cgu,4.87,general
3hfv,4.87,general
3iw8,4.87,general
3kjf,4.87,general
3l3z,4.87,general
4i2z,4.87,general
4ipj,4.87,refined
4os4,4.87,general
4q0k,4.87,refined
4rlw,4.87,refined
4rra,4.87,refined
4y3b,4.87,general
5knv,4.87,general
6apu,4.87,general
2clx,4.88,general
2ylo,4.88,general
3exh,4.88,refined
3ij0,4.88,general
3lp4,4.88,refined
3pjt,4.88,general
3pju,4.88,refined
4l7o,4.88,general
5alt,4.88,general
5nwe,4.88,refined
6clv,4.88,general
1h0w,4.89,general
1h61,4.89,general
1h79,4.89,general
1ilq,4.89,general
1p1q,4.89,core
1pxj,4.89,general
1z6f,4.89,general
2aoc,4.89,refined
2j77,4.89,refined
2lsk,4.89,general
2vo5,4.89,refined
3cx9,4.89,general
3d4z,4.89,core
3hfz,4.89,general
3juk,4.89,refined
3m8u,4.89,refined
3nij,4.89,general
3njq,4.89,general
3qs6,4.89,general
4cd1,4.89,general
4f14,4.89,general
4l9i,4.89,refined
4o0j,4.89,general
4o7f,4.89,general
4pgh,4.89,general
4pnu,4.89,refined
4qh8,4.89,general
4wj7,4.89,general
5hbn,4.89,refined
5ier,4.89,general
5ii2,4.89,refined
5ipc,4.89,refined
5j7w,4.89,refined
5ku3,4.89,general
5l3a,4.89,refined
5m4u,4.89,general
5o9o,4.89,refined
5oha,4.89,refined
5prc,4.89,general
5z7b,4.89,refined
6am8,4.89,general
6cus,4.89,general
3cf8,4.9,refined
3k3j,4.9,general
3oui,4.9,general
4a9i,4.9,general
4lil,4.9,general
5npr,4.9,general
5wfc,4.9,general
6fnx,4.9,general
1km3,4.91,refined
1n0t,4.91,general
3ibc,4.91,general
3juq,4.91,general
3lpt,4.91,general
3nin,4.91,general
3rdv,4.91,general
3t3d,4.91,general
3te5,4.91,general
4apo,4.91,general
4c0r,4.91,general
4rqi,4.91,general
5l8a,4.91,refined
5xw6,4.91,general
6iik,4.91,general
1bzc,4.92,core
